# tiempo[dias]  flujo_normalizado
0.00000 0.00000
0.10101 0.00001
0.20202 0.00001
0.30303 0.00002
0.40404 0.00003
0.50505 0.00004
0.60606 0.00006
0.70707 0.00010
0.80808 0.00015
0.90909 0.00023
1.01010 0.00035
1.11111 0.00052
1.21212 0.00077
1.31313 0.00112
1.41414 0.00161
1.51515 0.00231
1.61616 0.00326
1.71717 0.00457
1.81818 0.00633
1.91919 0.00869
2.02020 0.01180
2.12121 0.01586
2.22222 0.02111
2.32323 0.02780
2.42424 0.03625
2.52525 0.04679
2.62626 0.05977
2.72727 0.07557
2.82828 0.09459
2.92929 0.11720
3.03030 0.14373
3.13131 0.17447
3.23232 0.20964
3.33333 0.24935
3.43434 0.29357
3.53535 0.34212
3.63636 0.39465
3.73737 0.45063
3.83838 0.50932
3.93939 0.56982
4.04040 0.63102
4.14141 0.69171
4.24242 0.75054
4.34343 0.80611
4.44444 0.85700
4.54545 0.90185
4.64646 0.93942
4.74747 0.96862
4.84848 0.98859
4.94949 0.99873
5.05051 0.99873
5.15152 0.98859
5.25253 0.96862
5.35354 0.93942
5.45455 0.90185
5.55556 0.85700
5.65657 0.80611
5.75758 0.75054
5.85859 0.69171
5.95960 0.63102
6.06061 0.56982
6.16162 0.50932
6.26263 0.45063
6.36364 0.39465
6.46465 0.34212
6.56566 0.29357
6.66667 0.24935
6.76768 0.20964
6.86869 0.17447
6.96970 0.14373
7.07071 0.11720
7.17172 0.09459
7.27273 0.07557
7.37374 0.05977
7.47475 0.04679
7.57576 0.03625
7.67677 0.02780
7.77778 0.02111
7.87879 0.01586
7.97980 0.01180
8.08081 0.00869
8.18182 0.00633
8.28283 0.00457
8.38384 0.00326
8.48485 0.00231
8.58586 0.00161
8.68687 0.00112
8.78788 0.00077
8.88889 0.00052
8.98990 0.00035
9.09091 0.00023
9.19192 0.00015
9.29293 0.00010
9.39394 0.00006
9.49495 0.00004
9.59596 0.00003
9.69697 0.00002
9.79798 0.00001
9.89899 0.00001
10.00000 0.00000
